date;sku;units_sold;stock;is_open;is_holiday;is_prom;units_sold_last_year;units_sold_last_quarter;units_sold_last_month;units_sold_last_week;units_sold_last_52_weeks;units_sold_last_12_weeks;units_sold_last_8_weeks;units_sold_last_4_weeks;units_sold_last_day;units_sold_original
2019-02-14;38;0.0;0.0;1;0;0;;;24.0;12.0;;;;8.0;4.0;0
2019-02-14;39;0.0;0.0;1;0;0;;;12.0;0.0;;;;12.0;4.0;0
2019-02-14;40;4.0;0.0;1;0;1;;;0.0;0.0;;;;0.0;0.0;4
2019-02-14;41;0.0;0.0;1;0;1;;;0.0;20.0;;;;16.0;16.0;0
2019-02-14;42;8.0;0.0;1;0;0;;;20.0;8.0;;;;8.0;16.0;8
2019-02-14;43;4.0;0.0;1;0;1;;;4.0;4.0;;;;8.0;12.0;4
2019-02-14;44;0.0;0.0;1;0;0;;;4.0;20.0;;;;0.0;4.0;0
2019-02-14;45;4.0;0.0;1;0;1;;;24.0;4.0;;;;16.0;4.0;4
2019-02-14;46;4.0;0.0;1;0;0;;;0.0;4.0;;;;8.0;0.0;4
2019-02-14;47;0.0;0.0;1;0;0;;;8.0;0.0;;;;0.0;0.0;0
2019-02-14;48;4.0;0.0;1;0;0;;;20.0;4.0;;;;0.0;8.0;4
2019-02-14;49;4.0;0.0;1;0;0;;;20.0;4.0;;;;4.0;8.0;4
2019-02-14;50;28.0;0.0;1;0;1;;;4.0;8.0;;;;16.0;0.0;28
2019-02-15;1;48.0;0.0;1;0;0;;;8.0;8.0;;;;24.0;24.0;48
2019-02-15;2;4.0;0.0;1;0;0;;;0.0;0.0;;;;8.0;4.0;4
2019-02-15;3;8.0;0.0;1;0;0;;;0.0;0.0;;;;4.0;12.0;8
2019-02-15;4;4.0;0.0;1;0;0;;;16.0;8.0;;;;4.0;8.0;4
2019-02-15;5;12.0;0.0;1;0;0;;;0.0;16.0;;;;0.0;16.0;12
2019-02-15;6;8.0;0.0;1;0;0;;;4.0;4.0;;;;8.0;4.0;8
2019-02-15;7;16.0;0.0;1;0;0;;;12.0;12.0;;;;8.0;8.0;16
2019-02-15;8;16.0;0.0;1;0;0;;;24.0;4.0;;;;20.0;4.0;16
2019-02-15;9;4.0;0.0;1;0;1;;;24.0;4.0;;;;20.0;16.0;4
2019-02-15;10;0.0;0.0;1;0;1;;;20.0;8.0;;;;16.0;20.0;0
2019-02-15;11;8.0;0.0;1;0;0;;;12.0;16.0;;;;40.0;16.0;8
2019-02-15;12;20.0;0.0;1;0;1;;;16.0;12.0;;;;12.0;12.0;20
2019-02-15;13;8.0;0.0;1;0;0;;;4.0;8.0;;;;24.0;12.0;8
2019-02-15;14;4.0;0.0;1;0;0;;;24.0;20.0;;;;4.0;8.0;4
2019-02-15;15;8.0;0.0;1;0;0;;;0.0;0.0;;;;4.0;12.0;8
