sku;fechaIni;fechaFin
28;20180906;20181007
29;20190819;20190905
17;20160817;20160831
40;20160112;20160306
48;20140116;20140321
46;20111125;20120111
24;20170110;20170306
15;20180611;20180711
30;20181030;20181129
42;20180406;20180506
35;20210715;20210815
33;20140828;20141028
42;20171207;20180107
22;20170613;20170713
20;20210506;20210606
21;20210816;20210831
5;20151009;20151117
6;20110828;20110923
3;20150612;20150716
27;20190614;20190714
3;20150901;20151008
23;20170905;20171004
17;20180108;20180306
45;20191210;20200110
31;20121122;20130111
41;20180712;20180812
41;20170905;20171004
47;20180108;20180306
47;20170420;20170520
41;20190819;20190905
29;20210506;20210606
23;20210506;20210606
29;20141122;20150112
29;20171106;20171206
37;20191108;20191208
46;20121122;20130111
15;20160817;20160831
49;20191210;20200110
46;20200612;20200625
14;20170110;20170306
33;20171207;20180107
16;20190308;20190328
4;20170905;20171004
42;20170714;20170814
2;20170613;20170713
14;20180406;20180506
42;20200113;20200305
50;20190308;20190328
16;20200324;20200414
34;20200612;20200625
3;20160112;20160306
10;20200626;20200723
13;20121122;20130111
25;20180903;20181003
40;20200113;20200305
45;20210923;20211020
23;20210715;20210815
29;20110924;20111124
28;20200511;20200611
31;20170817;20170904
43;20180712;20180812
38;20161007;20161117
49;20160817;20160831
15;20181112;20181212
46;20210816;20210831
38;20181008;20181108
38;20210715;20210815
38;20160307;20160331
46;20120410;20120612
4;20181213;20190110
11;20190329;20190425
20;20210923;20211020
14;20171207;20180107
6;20160817;20160831
6;20210311;20210407
10;20180108;20180306
31;20160817;20160831
41;20210923;20211020
28;20210114;20210307
31;20160307;20160331
45;20210715;20210815
41;20170613;20170713
45;20190111;20190307
41;20210506;20210606
29;20210311;20210407
45;20140322;20140422
40;20190426;20190515
31;20160901;20160930
45;20161007;20161117
37;20180611;20180711
49;20190516;20190613
24;20140828;20141028
12;20200326;20200422
43;20190111;20190307
19;20210715;20210815
33;20150113;20150312
33;20210715;20210815
11;20160112;20160306
11;20200626;20200723
8;20190329;20190425
4;20171106;20171206
11;20200511;20200611
16;20151118;20160110
10;20160112;20160306
