sku;fecha;udsStock
36;20200630;96
36;20200701;96
36;20200702;92
36;20200703;92
36;20200704;76
36;20200705;76
36;20200706;76
36;20200707;76
36;20200708;72
36;20200709;72
36;20200710;108
36;20200711;92
36;20200712;92
36;20200713;92
36;20200714;88
36;20200715;80
36;20200716;80
36;20200717;112
36;20200718;112
36;20200719;112
36;20200720;112
36;20200721;108
36;20200722;100
36;20200723;84
36;20200724;80
36;20200725;72
36;20200726;72
36;20200727;72
36;20200728;64
36;20200729;52
36;20200730;44
36;20200731;80
36;20200801;64
36;20200802;56
36;20200803;56
36;20200804;44
36;20200805;36
36;20200806;36
36;20200807;104
36;20200808;100
36;20200809;100
36;20200810;100
36;20200811;92
36;20200812;92
36;20200813;84
36;20200814;108
36;20200815;100
36;20200816;92
36;20200817;92
36;20200818;92
36;20200819;84
36;20200820;84
36;20200821;112
36;20200822;112
36;20200823;112
36;20200824;112
36;20200825;104
36;20200826;104
36;20200827;104
36;20200828;96
36;20200829;92
36;20200830;80
36;20200831;80
36;20200901;80
36;20200902;80
36;20200903;68
36;20200904;108
36;20200905;104
36;20200906;104
36;20200907;104
36;20200908;96
36;20200909;96
36;20200910;88
36;20200911;128
36;20200912;116
36;20200913;116
36;20200914;116
36;20200915;116
36;20200916;104
36;20200917;104
36;20200918;124
36;20200919;116
36;20200920;108
36;20200921;108
36;20200922;92
36;20200923;84
36;20200924;80
36;20200925;64
36;20200926;60
36;20200927;52
36;20200928;52
36;20200929;52
36;20200930;48
36;20201001;44
36;20201002;124
36;20201003;112
36;20201004;100
36;20201005;100
36;20201006;100
36;20201007;92
36;20201008;92
36;20201009;120
36;20201010;120
36;20201011;116
36;20201012;116
36;20201013;116
36;20201014;108
36;20201015;100
36;20201016;100
36;20201017;96
36;20201018;96
36;20201019;96
36;20201020;88
36;20201021;80
36;20201022;68
36;20201023;60
36;20201024;52
36;20201025;48
36;20201026;48
36;20201027;40
36;20201028;32
36;20201029;24
36;20201030;96
36;20201031;92
36;20201101;92
36;20201102;92
36;20201103;92
36;20201104;84
36;20201105;84
36;20201106;116
36;20201107;104
36;20201108;84
36;20201109;84
36;20201110;84
36;20201111;76
36;20201112;64
36;20201113;96
36;20201114;84
36;20201115;84
36;20201116;84
36;20201117;84
36;20201118;80
36;20201119;80
36;20201120;116
36;20201121;112
36;20201122;112
36;20201123;112
36;20201124;104
36;20201125;96
36;20201126;76
36;20201127;104
36;20201128;104
36;20201129;84
36;20201130;84
36;20201201;76
36;20201202;68
36;20201203;68
36;20201204;136
36;20201205;132
36;20201206;112
36;20201207;112
36;20201208;112
36;20201209;112
36;20201210;96
36;20201211;116
36;20201212;112
36;20201213;108
36;20201214;108
36;20201215;96
36;20201216;96
36;20201217;84
36;20201218;124
36;20201219;120
36;20201220;112
36;20201221;112
36;20201222;108
36;20201223;96
36;20201224;92
36;20201225;88
36;20201226;88
36;20201227;76
36;20201228;116
36;20201229;108
36;20201230;108
36;20201231;108
36;20210101;120
36;20210102;120
36;20210103;120
36;20210104;160
36;20210105;156
36;20210106;144
36;20210107;144
36;20210108;136
36;20210109;132
36;20210110;132
36;20210111;132
28;20201007;96
28;20201008;80
28;20201009;76
28;20201010;64
28;20201011;52
28;20201012;52
28;20201013;88
28;20201014;68
28;20201015;60
28;20201016;48
28;20201017;40
28;20201018;16
28;20201019;16
28;20201020;8
28;20201021;8
28;20201022;8
28;20201023;8
28;20201024;8
28;20201025;8
28;20201026;168
28;20201027;156
28;20201028;144
28;20201029;128
28;20201030;120
28;20201031;104
28;20201101;100
28;20201102;100
28;20201103;96
28;20201104;80
28;20201105;68
28;20201106;56
28;20201107;40
28;20201108;32
28;20201109;152
28;20201110;144
28;20201111;140
28;20201112;140
28;20201113;128
28;20201114;128
28;20201115;120
28;20201116;120
28;20201117;120
28;20201118;112
28;20201119;108
28;20201120;96
28;20201121;76
